customer_message,gold_intent,predicted_intent,confidence,action,intent_correct,reply,reason,evidence_reason
@AppleSupport just got an iPhone X. Now whenever I dictate a reply using CarPlay it sends the message to the wrong person! So awkward.,performance_crash,messages_imessage,0.3061,escalate,False,We're here to help with your messaging issue. Could you tell us what happens when you try to send or receive a message?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport @118936 @23150 @160959 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ please help I️ I️ I️ I️ I️,battery_charging,purchases_billing,0.5189,escalate,False,We're here to help with your purchase or billing issue. Could you tell us what happened with the purchase or charge and whether you received any error message?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"Apple, ima need y’all to get your shit together with this letter ‘I’ problem @AppleSupport",battery_charging,performance_crash,0.5904,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport anytime I get a notification my Spotify music stops playing. Even if I'm in the app... #iOS11 still sucks😒,sim_cellular_network,performance_crash,0.3911,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@579186 @AppleSupport Yeah the alarm alerts have gone totally bonkers on my phone too.,ios_update,device_settings_features,0.8371,auto_handle,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
"@AppleSupport MBP mid2012 9,2 (i7 upgraded to 16GB ram &amp; SSD)",ios_update,performance_crash,0.3556,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport tell me, am I meant to be using my passcode so much with Face ID I feel like I’ve gone back in time...",ios_update,performance_crash,0.2676,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport Thanks for the reply, I do appreciate it, but what irks me is the fact that next reboot, it’s back to the same ‘default’ photo. Why cant we just leave things that work fine alone..?",performance_crash,performance_crash,0.4054,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
iOS 11.0.3 was supposed to fix touch screen problems and it’s made my perfectly ok iPhone device have problems @AppleSupport,ios_update,performance_crash,0.7058,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
Does @AppleSupport no longer sell the lightning-ethernet adapter?,device_settings_features,device_settings_features,0.5659,escalate,True,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
IM MAD @AppleSupport why do y’all keep replacing my I️ with this other stuff?? Please FIX IT ASAP,device_settings_features,performance_crash,0.482,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport I just sent a dm about an accident on iTunes I need help removing the payment please.,purchases_billing,purchases_billing,0.8032,auto_handle,True,We're here to help with your purchase or billing issue. Could you tell us what happened with the purchase or charge and whether you received any error message?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
@AppleSupport iPhone 6s and yes version 11.0.2.,ios_update,performance_crash,0.7434,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"Hey, @AppleSupport, what are you doing about the fact the update made battery life suck?",battery_charging,battery_charging,0.9068,auto_handle,True,We're happy to help with the battery issue. Could you tell us which device and iOS version you're using and when you first noticed the battery or charging problem?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
@AppleSupport Thank you. iPod 6th gen iOS 11.0,ios_update,performance_crash,0.341,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport I was charged for a subscription that I ended and y’all owe me $15.,purchases_billing,purchases_billing,0.879,auto_handle,True,We're here to help with your purchase or billing issue. Could you tell us what happened with the purchase or charge and whether you received any error message?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
@AppleSupport Is there a function I can change on my iPhone X so my phone automatically goes full screen when I watch a video it’s so annoying having to tap something to get full screen all the time,ios_update,performance_crash,0.5169,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
Why I can’t download any apps from @118936?@AppleSupport,apps_app_store,apps_app_store,0.7982,escalate,True,We're here to help with your App Store issue. Could you let us know what happens when you try to download or update an app?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport This is what happens. I’ve only seen it on Facebook,ios_update,device_settings_features,0.3828,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport 11.0.2,ios_update,performance_crash,0.655,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport when y’all gone fix this glitch,performance_crash,performance_crash,0.9715,auto_handle,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
@AppleSupport if I trade in my iPad at the apple store tomorrow will thy give me credit I can use towards an Apple Watch?,ios_update,purchases_billing,0.3569,escalate,False,We're here to help with your purchase or billing issue. Could you tell us what happened with the purchase or charge and whether you received any error message?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport No, this happens no matter what app I’m using and even when I’m not touching the phone. I have turned the phone on and off but the issue continues.",ios_update,device_settings_features,0.4207,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport My tasks/ windows in the background are always shut in order to prevent useless battery usage. Not ready to buy a new iPhone either 🤨,ios_update,battery_charging,0.4219,escalate,False,We're happy to help with the battery issue. Could you tell us which device and iOS version you're using and when you first noticed the battery or charging problem?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
hey @115858 @AppleSupport since when is my charger supposed to catch on fire and melt????,battery_charging,device_settings_features,0.4386,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@406735 @AppleSupport YES, I HATE IT AND I'M TYPING IN ALL CAPS BECAUSE THIS PRESUMABLY IS A VERY SIMPLE THING TO FIX @APPLESUPPORT @115858 @80933",battery_charging,performance_crash,0.6534,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
".@AppleSupport Headphone Jack is no longer recognizing headphones with iOS 11.1. Have tried multiple pairs, any solution?",battery_charging,device_settings_features,0.4207,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport glitch in iOS 11.0.3 Never happened before. The music seek bar doesn’t work nor does it update per second. Tried closing and opening the app &amp; restarted as well, doesn’t work. Please fix",battery_charging,performance_crash,0.7735,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"You know @AppleSupport this is ridiculous, for weeks I️ haven’t had to deal with the glitch changing the letter “I️” but now suddenly I️ do out of nowhere? Is this some sort of joke?",performance_crash,performance_crash,0.7416,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@115858 @AppleSupport When y’all gone fix these bugs 🤦🏾‍♀️,performance_crash,performance_crash,0.5954,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport @341674 I have the same problem, I have to open the Spotify or Music App to manage musics, I can’t do it by the Control Center anymore",device_settings_features,device_settings_features,0.7225,escalate,True,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport are you kidding me! Y’all fix the “I” problem! And now my “I.t” is trippin 🤨🧐😡😡😡🤬🤬🤬,icloud_photos,performance_crash,0.492,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
Hey @115858 @AppleSupport I don’t think my battery is supposed to go from 100% to 56% in 2 hours. I know my phones old but geez.,battery_charging,battery_charging,0.4902,escalate,True,We're happy to help with the battery issue. Could you tell us which device and iOS version you're using and when you first noticed the battery or charging problem?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
fuck apple and iPhone seriously lost all of my fucking pictures and messages from the last 5 fucking months @115858 @AppleSupport,performance_crash,performance_crash,0.5453,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport I️ need an explanation,other_unclear,performance_crash,0.2466,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport Still none of this works...,performance_crash,device_settings_features,0.371,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport I really despair that the iPhone 7 does this in notifications. ios 11 is wrong,battery_charging,performance_crash,0.5295,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport what’s going on with these question marks??,performance_crash,performance_crash,0.4512,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport Ahh not again iOS 11.0.2 makes my iPhone 5s freeze all time, not able to use phone properly !! Pls fix",performance_crash,performance_crash,0.828,auto_handle,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
@AppleSupport It's iPhone 5SE. The battery was good with iOS 10 &amp; also with iOS 11.0.2 but now with 11.1.1 it's the same it drains fast. It a common issue for all the users. There are many articles posted by Forbes also. Hope you know the same. Pls address the issue.,battery_charging,battery_charging,0.6805,escalate,True,We're happy to help with the battery issue. Could you tell us which device and iOS version you're using and when you first noticed the battery or charging problem?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
Y’all best explain why tf I always conveniently get problems with my iPhone when the newest one drops @AppleSupport this shit ain’t no coincidence,apple_id_account,device_settings_features,0.3662,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport @115858 wtf is that on my X,icloud_photos,device_settings_features,0.4584,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
Mac OS X 10.12.6 QuickTime 10.4 cannot play a .MOD video it plays it as a audio file but iMessage can play the video? @AppleSupport,messages_imessage,messages_imessage,0.6259,escalate,True,We're here to help with your messaging issue. Could you tell us what happens when you try to send or receive a message?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport Why are some notifications in newest iOS overflowing their background boxes? Example attached,battery_charging,device_settings_features,0.2135,escalate,False,We're here to help with your device issue. Could you tell us which device you're using and what happens when you try the affected feature?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport I have the I phone 7+. It just freezes out of no where and I can’t turn it off and recently it’s been just restarting itself.,performance_crash,performance_crash,0.9122,auto_handle,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
Fix this I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ @AppleSupport,performance_crash,performance_crash,0.7975,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
Since this new iOS11 my weather widget doesn’t even display the right shit. How do I fix that? @AppleSupport,sim_cellular_network,performance_crash,0.4532,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport how can I send emails to the trash now instead of the archived option in the Apple Mail App,apps_app_store,sim_cellular_network,0.2913,escalate,False,We're here to help with the network issue. Could you let us know which device you're using and whether you see 'No Service' or 'Searching'?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
Finally updated my phone to iOS 11. Instant regret. Thanks @AppleSupport,ios_update,performance_crash,0.5416,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
"@AppleSupport Battery draining, gets stuck in landscape view, apps take 5-10 seconds to load(including recent calls, voicemail), some apps not compatible, auto dimming won’t turn off, flashlight doesn’t work at low battery percentage",battery_charging,battery_charging,0.7849,escalate,True,We're happy to help with the battery issue. Could you tell us which device and iOS version you're using and when you first noticed the battery or charging problem?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport battery life has been terrible since iOS 11 on my 6s plus. Any fix can you guys recommend?,battery_charging,battery_charging,0.9034,auto_handle,True,We're happy to help with the battery issue. Could you tell us which device and iOS version you're using and when you first noticed the battery or charging problem?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
"Dear @AppleSupport, for the 2nd time in 10 Days all my photos have disappeared except for 12 from 3 years ago.",performance_crash,performance_crash,0.2723,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport I need help but it seems I can't get anywhere with support.,other_unclear,purchases_billing,0.2995,escalate,False,We're here to help with your purchase or billing issue. Could you tell us what happened with the purchase or charge and whether you received any error message?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport Well they said go to the store they will help you let’s find out if they give me a new phone I will bring back all the iPhones I bought my family for Xmas and go back to google and get pixels for the fam no service what’s so ever from apple support thanks guys,sim_cellular_network,sim_cellular_network,0.521,escalate,True,We're here to help with the network issue. Could you let us know which device you're using and whether you see 'No Service' or 'Searching'?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
Can not get any solution with #Apple chat on keep hanging #iPhone 5S after upgrading in iOS 11..😔 @AppleSupport @120640,apps_app_store,performance_crash,0.2764,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
MON CLAVIER LAG A MORT @AppleSupport je vais peter un câble 😤,performance_crash,performance_crash,0.7797,escalate,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
Thanks for ruining my brand new phone @AppleSupport!! #iOS11 left me w/ a crashing phone that barely stays charged. #PlannedObsolescence,performance_crash,performance_crash,0.8212,auto_handle,True,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,"Intent confidence, historical similarity, and evidence quality all meet the safe auto-handle thresholds.",High-confidence intent with strong historical similarity.
@AppleSupport My iPhone is currently running on iOS 11.1.2,messages_imessage,performance_crash,0.6766,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
@AppleSupport Cómo hago para que mi app de @12762 suene incluso si mi iPhone está en silencio o en no molestar 🌙? Gracias. 😀,apps_app_store,performance_crash,0.3746,escalate,False,We're here to help troubleshoot the issue. Could you tell us which device and iOS version you're using and what happens when the problem occurs?,Intent confidence is below the safe auto-handle threshold (0.80).,Historical evidence or intent confidence is not strong enough for safe automatic handling.
