customer_text,intent,prediction
Since this new iOS11 my weather widget doesn’t even display the right shit. How do I fix that? @AppleSupport,sim_cellular_network,other_unclear
@AppleSupport how can I send emails to the trash now instead of the archived option in the Apple Mail App,apps_app_store,other_unclear
Finally updated my phone to iOS 11. Instant regret. Thanks @AppleSupport,ios_update,ios_update
"@AppleSupport Battery draining, gets stuck in landscape view, apps take 5-10 seconds to load(including recent calls, voicemail), some apps not compatible, auto dimming won’t turn off, flashlight doesn’t work at low battery percentage",battery_charging,battery_charging
@AppleSupport battery life has been terrible since iOS 11 on my 6s plus. Any fix can you guys recommend?,battery_charging,battery_charging
"Dear @AppleSupport, for the 2nd time in 10 Days all my photos have disappeared except for 12 from 3 years ago.",performance_crash,icloud_photos
@AppleSupport I need help but it seems I can't get anywhere with support.,other_unclear,other_unclear
@AppleSupport Well they said go to the store they will help you let’s find out if they give me a new phone I will bring back all the iPhones I bought my family for Xmas and go back to google and get pixels for the fam no service what’s so ever from apple support thanks guys,sim_cellular_network,sim_cellular_network
Can not get any solution with #Apple chat on keep hanging #iPhone 5S after upgrading in iOS 11..😔 @AppleSupport @120640,apps_app_store,ios_update
MON CLAVIER LAG A MORT @AppleSupport je vais peter un câble 😤,performance_crash,performance_crash
Thanks for ruining my brand new phone @AppleSupport!! #iOS11 left me w/ a crashing phone that barely stays charged. #PlannedObsolescence,performance_crash,purchases_billing
@AppleSupport My iPhone is currently running on iOS 11.1.2,messages_imessage,ios_update
@AppleSupport Cómo hago para que mi app de @12762 suene incluso si mi iPhone está en silencio o en no molestar 🌙? Gracias. 😀,apps_app_store,other_unclear
@AppleSupport Since the new update my settings have been changing (back lighting changes by itself. Goes to do not disturb).,device_settings_features,device_settings_features
@AppleSupport ever since I updated my iPhone to iOS 11 all my apps are running slow &amp; take long to open. My phone constantly freezes and this never happened before the update!!! Just terrible can you fix the bugs ASAP!!!!!!!!!,performance_crash,performance_crash
So I have to be online or keep the app open to receive messages. I hope @AppleSupport or Whatsapp fixes it.,apps_app_store,messages_imessage
@AppleSupport updated my iphone 5s to ios 11.02.. Random touch occurs very frequently. Reset doesn't help me either.,performance_crash,ios_update
Uh @115858 @AppleSupport there might be something wrong with this #macbook #air from 2011.. battery?,battery_charging,battery_charging
"@AppleSupport Hi, Battery drains super fast,Animation lags,Doesn't keep apps on memory as before. Expecting a fix ASAP",battery_charging,battery_charging
@AppleSupport I can’t open my messages app on iPhone X iOS 11.1 please help,apps_app_store,messages_imessage
@AppleSupport trying to figure out how to turn on applepay cash with this 11.2 update???,device_settings_features,ios_update
@AppleSupport Is there a way to force iCloud Drive to sync on Mac? I signed into iCloud &amp; no files show up. Files are on all other iDevices.,icloud_photos,icloud_photos
@AppleSupport if i restore my phone from a old backup. Will all the new things on my phone be deleted? Like my messages and pictures?,battery_charging,messages_imessage
@AppleSupport Why do I keep seeing boxes with question marks in them when I have already updated to the newest iOS?,other_unclear,ios_update
@AppleSupport My phone doesn't like to load any app data or anything when on WiFi. Only on cellular. Restored and tried multiple networks,device_settings_features,sim_cellular_network
@490099 wtf @AppleSupport get it together,performance_crash,other_unclear
@115858 WHY IS THIS HAPPENING!!! @AppleSupport,performance_crash,other_unclear
"@AppleSupport Already went through this - battery life was perfect until latest update. The problem with the battery draining fast was definitely caused by the latest update. Went through settings multiple times, settings are set the same as before the latest update",battery_charging,battery_charging
"@AppleSupport I was billed on Friday for a game I play, despite not spending money that day. I contacted them but no reply yet.",purchases_billing,purchases_billing
@AppleSupport Any way of knowing when my local Apple store will have more iPhone X's?,performance_crash,other_unclear
@AppleSupport Tried both of your support methods last night - poor planning that they were both unavailable during iPhone X sales launch when needed.,performance_crash,other_unclear
"@AppleSupport iPhone 8 on latest IOS, screen auto lock doesn’t work",performance_crash,device_settings_features
@478158 @AppleSupport It’s happening to me too and I’m actually about to lose my mind I️ I️ I️ I️ I️ I️ I️ I️ I️,performance_crash,other_unclear
"@AppleSupport @343916 I was thinking about the same thing, IPhone 6a and iOS 11.0.3.. battery &amp; heating is the issue",battery_charging,battery_charging
"@AppleSupport It happens regardless of devices being attached. It happens across all the of the apps I'm running: Mail, Preview, Chrome, Word, Excel. It happens even if only one app is running.",apps_app_store,apps_app_store
@AppleSupport It does it with every app. And yes it’s up to date with the software.,apps_app_store,other_unclear
I wish I know how iOS 11 drains my #iPhone7 battery so fast! @115858 @AppleSupport #iOS11 #iphonebattery #iPhone8 #iPhone #iOS,battery_charging,battery_charging
@AppleSupport Hello! I’m listening to @115888 and the music controls at the control center are not working. Why?,device_settings_features,performance_crash
@AppleSupport Yes twitter etc all work fine,performance_crash,other_unclear
@AppleSupport I did a network reset to try and connect but appears a Message saying not able to connect to network ....,apps_app_store,messages_imessage
.@115858 really does get worse on usability in a big way. we're having the same issue and nothing helps @applesupport,apps_app_store,other_unclear
Hey @AppleSupport if you could fix this whole I️ autocorrect situation that’d be great,apps_app_store,other_unclear
@AppleSupport someone owe me money or a new phone that is not going to crash everytime a new phone hits the market. Its been going on for too damn long and is unacceptable... FIX IT NOW⚠️,performance_crash,purchases_billing
@AppleSupport why are you guys allowing an app to charge me I canceled the subscription in my phone already two weeks ago. And now I can’t download any apps,apps_app_store,purchases_billing
Phone keeps dying fast 🙂 @AppleSupport,battery_charging,battery_charging
"@AppleSupport Yes from the control center. From yesterday i have observed if i keep my phone locked for some time and unlock it, wifi is on automatically",device_settings_features,calls
I must say @AppleSupport latest update is poor. Correcting spelling that is already correct. Putting capital letters in. Changing languages ie hôtel not hotel. Woeful. Just woeful.,performance_crash,ios_update
@AppleSupport I’m using an iPad. I’m on iOS 11.0.3,sim_cellular_network,ios_update
Getting distorted outgoing Voice msg quality w the last update to #iPhone &amp; #WhatsApp @4305 @AppleSupport Bluetooth is off but sounds on,apps_app_store,ios_update
@AppleSupport there is a problem that kept showing on my MacBook pro and my iphone6s is that when i play a music it will turn off and on many time by it self also in my mac the iTunes open himself I don’t know how 🤦🏻‍♀️,apps_app_store,other_unclear
@115858 @AppleSupport what’s up with the capital “I️”. And my screen freezing with simple commands?? That @122986 pixel 2 lookin real nice.,performance_crash,sim_cellular_network
@115858 @AppleSupport I have had to buy and return 5 pairs of airpods because of bad manufacture defects in the housing of the airpods.,apple_id_account,other_unclear
@AppleSupport Just installed iOS 11.0.2 on my iPhone 6 and the photo app still refuses to edit the photos immediately. PLEASE FIX THIS BUG!!,apps_app_store,icloud_photos
Why do I STILL see those question marks? I updated my phone @AppleSupport,apps_app_store,ios_update
@AppleSupport 😩😩 so iPhone 7 will never have it,apps_app_store,other_unclear
@AppleSupport where is the apps folder on the new iTunes? I can’t find my apps,apps_app_store,apps_app_store
So apparently blue tooth doesn’t work on the iPhone X @AppleSupport. Maybe I should’ve stuck with Samsung.,apps_app_store,other_unclear
@AppleSupport hi i dgraded my icloud plan from 50GB to free. I’m not sure if it was processed. How do i check it?,apps_app_store,icloud_photos
"@AppleSupport Today, all of a sudden, no apps can play sound. My music ring tone works tho! I’ve restarted several times and I have the latest iOS. This is an iPhone 6. Please help. (I have tried all the obvious stuff)",device_settings_features,apps_app_store
@AppleSupport Thanks again but still no joy - just tried a music CD same issue - 1st time since Sierra installed - I think others have same problem :(,sim_cellular_network,other_unclear
"@AppleSupport .@AppleSupport The response from ur tech staff ""you're better off calling the #sydney store direct because we don't know."" Just pathetic.",other_unclear,calls
@AppleSupport USA,battery_charging,other_unclear
"@115858 @applesupport unable to send videos to non-iPhone users, huge problem. Please fix this asap! Have called support, no help.",battery_charging,calls
I made it. 42nd #MarineCorpsMarathon Mission Accomplished 4:59:20 btw @AppleSupport your @NikeSupport Watch &amp; app crashed 3 times no record,performance_crash,performance_crash
"@AppleSupport many bugs in 11.0.1 ; When msg button clicks on a contact,its not appearing screen “ to send message”",messages_imessage,messages_imessage
@AppleSupport Yes. I’ve also toggled iMessage off and back on.,messages_imessage,messages_imessage
"@AppleSupport When I open my safari it starts with a blanc page, I want it to start with my favorites again... How do I do this? Thanks",sim_cellular_network,other_unclear
@AppleSupport I purchase something wrongly and i want to refund it how can i do that ?,purchases_billing,purchases_billing
"@683805 @AppleSupport @115858 No. I've uninstalled all apps that weren't ready for iOS11 (v 11.1.1), I've rebooted the phone several times, still no joy. It must be a bug when recovering installation from another phone. Perhaps better to reinstall from scratch?!",messages_imessage,apps_app_store
@AppleSupport Now it’s 62%. Everything worked just fine with watch OS 3! I like some of the new features of 4 but this bug is terrible.,apps_app_store,device_settings_features
I️ updated my ios11 and every time eye type I️ it turns into a question mark? Fix this shit @AppleSupport,device_settings_features,ios_update
@AppleSupport It’s not happening with any specific apps. It happens all the time. Connected to WiFi. No connected to WiFi. Home. Public. Wherever I am!,device_settings_features,apps_app_store
"But now, I can't seem to do that any more. It seems that either I restrict app installation or I don't: you have removed the distinction between free downloads and not-free downloads???? THIS IS REALLY INCONVENIENT. @AppleSupport",apps_app_store,other_unclear
Okay the question mark still comes out lol wtf @AppleSupport,performance_crash,other_unclear
Has anyone else’s @115858 watch screen popped off? Mine sprung across the room for no reason and is completely useless now. @AppleSupport,performance_crash,device_settings_features
@AppleSupport fuck ur update! my iphone 6 feels like a 6 year old phone now! thanks to ur ios update :) moneymaker,performance_crash,ios_update
Why does every time I️ day I️ it looks all weird? @AppleSupport I️ I️ I️,performance_crash,other_unclear
"@AppleSupport just received my iPhoneX, my photos aren’t transferring from old to new device. HELP! I have iCloud photo stream on. Only 159 pictures out of over 22,000 transferred.",icloud_photos,icloud_photos
"Bro do another update, I can barely switch between apps @AppleSupport",apps_app_store,apps_app_store
"@AppleSupport iPhone 6, 11.1.2, last night around 12am and I did uninstall it and re install it and it still doesn’t work",apps_app_store,other_unclear
I️ 👈 is so annoying!!!! @AppleSupport please fix this!!!,icloud_photos,other_unclear
@AppleSupport I’ve got shit to do. I can’t call you guys every single time you run another buggy update. This is unacceptable.,messages_imessage,calls
@applesupport iPhone@6s still unbearably slow after iOS 11.1 and 11.1.2 super laggggy.when is it going to be fixed?!,performance_crash,performance_crash
@AppleSupport Very clever. But did we really need it? Why clutter the home screen needlessly? I really don’t see the need for it. Do you?,performance_crash,device_settings_features
@AppleSupport LIKE ACTUALLY WHAT IS THIS!,apps_app_store,other_unclear
@AppleSupport make this glitch stop pls,performance_crash,performance_crash
Hello @AppleSupport take a look at this email please.,icloud_photos,other_unclear
@AppleSupport other than quitting Safari. Have you got any good ideas about dealing with these?,apps_app_store,other_unclear
@AppleSupport Yes. I’ve done it already,performance_crash,other_unclear
@115858 @AppleSupport why can you no longer see the battery percentage on the iPhone X?,battery_charging,battery_charging
Anyone else having issues uploading Instagram videos with the #iPhoneX - mine are getting distorted @AppleSupport,icloud_photos,other_unclear
.@AppleSupport iPhone update sucks! Message notifications don’t show on locked screen. Trouble reading incoming messages when in message 😡,apps_app_store,device_settings_features
Hey @AppleSupport i️ would love to use the first person singular pronoun to refer to myself again... without a question mark and a box A.,sim_cellular_network,other_unclear
@AppleSupport my phone is updated so WHY AM I️ SEEING BOXES??,apple_id_account,ios_update
@AppleSupport App Store not downloading apps using iOS 11.0.3 on 2017 iPad. Works fine on my 6s with iOS 10.3.3,apps_app_store,apps_app_store
@AppleSupport I trained to get a medal. Can not calculate the activity app 😬 itself was an average of 47.2,sim_cellular_network,other_unclear
Pls help @AppleSupport it only happens in my group chats and happens to my friends too,apple_id_account,other_unclear
@AppleSupport heavy Battery drain on iOS 11.1 on a iPhone 7. Worst than 11.0.3... why don’t you solve this??,battery_charging,battery_charging
@AppleSupport Every time I️ use the letter “ i “ it pops up,sim_cellular_network,other_unclear
@AppleSupport why do your support staff keep saying repair when under uk consumer law you’re obliged to replace or refund in first month,purchases_billing,purchases_billing
Error 11.0.2. @115858 @AppleSupport 🙄,apps_app_store,other_unclear
"@AppleSupport, I didn’t sign up for localized album covers, how do I disable this crap? iPhone language: English (U.K.) Region: United Kingdom Yes, my payment country is Russia.",purchases_billing,purchases_billing
My iPhone has basically been redundant since doing the new iOS update! What’s going on @AppleSupport ?,ios_update,ios_update
"@AppleSupport I’m only seeing this bug over social media instead of messages/autocorrect. not sure if it’s from iPhone or Android users, but it did not resolve with the update.",messages_imessage,messages_imessage
@AppleSupport wassup man I️ tried to update my MacBook an my shit crashed 🤦🏽‍♂️,performance_crash,performance_crash
RIP my battery @AppleSupport,battery_charging,battery_charging
"@AppleSupport Nope it isn't clicked,it happens when I watch a video and when u turn the phone normal it stays fully open...",sim_cellular_network,other_unclear
@AppleSupport It said Finnish is not supported lol,apps_app_store,other_unclear
@AppleSupport hello i just updated my phone to the newest update and it’s not letting me call ANYONE and i really need to talk to my mom so if u could fix this that would be great,calls,calls
@AppleSupport Charged all the way to 100% last night. Somehow already at 68%. No apps opened.,sim_cellular_network,purchases_billing
@AppleSupport How can I revert back to ISO 10 please? 😑,apple_id_account,other_unclear
"Swollen Battery on 1st Gen Apple Watch, Screen Dislodged, Apple Support Chat denies Warranty Extension #confused @AppleSupport",battery_charging,battery_charging
Hey @AppleSupport I’m sick of this damn A ? Stuff. Fix it,sim_cellular_network,other_unclear
@AppleSupport my location services is stuck on requesting data why won’t it shut off,apple_id_account,device_settings_features
@AppleSupport @115858 iOS 11.0.3 Problems Problems Problems!📱7 Plus crap after update!Provide fix! Crash&amp;drain bugs to use phone normally.,performance_crash,ios_update
Anyone else’s phone now buggered cause of the last @AppleSupport iOS download?,sim_cellular_network,performance_crash
Can’t save pictures sent in @4305 to my camera roll (iPhone). Is this a bug with the iOS11? @AppleSupport,apps_app_store,icloud_photos
"@AppleSupport for the love of god, can we get an update for this “I️” nonsense?",sim_cellular_network,ios_update
"@AppleSupport So still, why the need for cc when you first set up an ID.",sim_cellular_network,other_unclear
"@AppleSupport No, I don’t even see that option. Sometimes it sets itself to less than 10% or more than 90%.",apps_app_store,other_unclear
@AppleSupport I had low power mode on 😂😂😂 sorry,sim_cellular_network,other_unclear
HELPPPPPPP @AppleSupport,other_unclear,other_unclear
Every single update the volume/ringer interface is supposedly fixed. Still waiting for it ... @115858 @AppleSupport,sim_cellular_network,ios_update
@AppleSupport Y’all going to refund me for all the days my Apple Music hasn’t worked?! I’m going to have to drive home listening to the RADIO 😭,purchases_billing,purchases_billing
@AppleSupport This was not helpful in the slightest bit. Thanks for trying to help. This new update is what’s causing the glitch,sim_cellular_network,ios_update
@AppleSupport Et que si je m’éloigne de ma box au bout de 3m c’est le no man’s land ? (Genre la je suis dans la pièce à côté mais en 4g pour écrire),sim_cellular_network,other_unclear
"@AppleSupport Just a few contacts, not all. I get the red exclamation point. Tried all fixes from link and still nothing. Connectivity is fine as well.",messages_imessage,other_unclear
Hey @AppleSupport my phone alarm didn’t make a sound for a full hour why are you trying to ruin my life,apps_app_store,other_unclear
Hey @AppleSupport! Fix your glitch with the letter that comes after “h”!,performance_crash,performance_crash
"Worst #customerservice ever @applesupport - Up to 4th Senior Advisor - no follow up, no call back, no resolution, now a hangup @116333",other_unclear,calls
"My iPhone 7 doesnthave an ""auto call answering"" option but I sick of it auto answering after few rings. How do I stop it?😡😡💚💚 @AppleSupport",calls,calls
@AppleSupport IOS 11.1 UI is broken:Try making a call &amp; at the same time access any other app. The screen splits into 2 &amp; one half its black,calls,calls
@AppleSupport I have to restart my phone every single time I want to make a call because the new update messed up with the handset!!!! FIX THIS BUG,calls,calls
@AppleSupport Just the phone call,calls,calls
@AppleSupport I purchased extra storage but it's not reflecting. Can you help,purchases_billing,purchases_billing
Hi @AppleSupport how can I access audiobooks not purchased on iTunes but in the #audiobooks section of my #iTunes library on my #iPhone?,purchases_billing,purchases_billing
"@AppleSupport I was expecting them to sync, either via iTunes Match or on iBooks. Ones purchases through iTunes seem to appear in ibooks but others don't",purchases_billing,purchases_billing
@AppleSupport They were all purchased from iTunes,purchases_billing,purchases_billing
@AppleSupport are there any changes or issues with payment service? My method keeps being rejected. It worked perfectly fine a week ago.,purchases_billing,purchases_billing
"@AppleSupport the text reactions aren't working in iMessage. also when I FacetTme from my MacBook, the person I'm talking to can't see me",messages_imessage,messages_imessage
"@AppleSupport when I click on a message, the options do not appear on touch bar. And yes the FaceTime doesn't work for any contact",messages_imessage,messages_imessage
@AppleSupport Would love to be able to delete a group of texts messages at the same time. It shouldn't be that difficult!,messages_imessage,messages_imessage
@AppleSupport Nope. Just the exclamation mark saying not delivered. Only to android phones. iMessage works perfect,messages_imessage,messages_imessage
@AppleSupport the new update sucks. Do I need my cellular data on to send texts to non iPhone friends?,messages_imessage,messages_imessage
Hello @AppleSupport is there a bug for this #iOS11 ? Toggle from airplane mode turns on WiFi and Bluetooth,device_settings_features,device_settings_features
@AppleSupport #iOS11 bug when playing audio with bluetooth (music or spotify app): music sometimes stops for a split second :-(,device_settings_features,device_settings_features
"Why does my wifi &amp; bt still turned on even i turned em off in control center, it drains my batt ios11.1 @AppleSupport",device_settings_features,battery_charging
"Extremely unimpressed @AppleSupport! Installed #macOSHighSierra &amp; now my #iMac's #bluetooth #keyboard isn't connected, how do I then log in?",device_settings_features,device_settings_features
"@AppleSupport Yep, immediately to the right of the WiFi icon. Spins continuously unless the phone is locked.",device_settings_features,device_settings_features
