customer_tweet_id,customer_text,support_reply
2361707,"@AppleSupport They don’t have the blue arrow option, it only says “processing” or waiting, but they’re not moving whatsoever","@681954 Thank you for letting us know! Are you connected to Wi-Fi, or downloading over cellular data?"
2012370,@AppleSupport @118936 when will iCloud Drive support iPhone X ?????its not letting me install,@569009 We'd like to look into this with you. Could you Direct Message us and let us know which country you're located in?
9842,@AppleSupport I said the battery is dying too fast. Is that because of the new iOS 11.0.3? I’m pretty worried about it 😕 I can’t trust my phone anymore,@117810 We're here to help. Let's update your device to iOS 11.1 and test to see if the issue persists:
1458102,My current iPhone has a crack in the screen. Anyone know if I need to get it repaired before sending it in? @AppleSupport,@458429 We'd be happy to look into this with you. Please reach out to us via DM and we'll get started.
415065,@AppleSupport iTunes/Music opens fine but do not play any song. All others apps are working perfectly (audio and video).,@162981 DM us the Apple device you are using and we’ll do our best to assist you.
1638733,HOW COME EVERY TIME I️ TYPE I IT TURNS INTO I️ @AppleSupport help pls,"@501096 Thanks for contacting us, we're here for you. Please follow the steps in this support article:"
2699052,"@AppleSupport @758303 Yep! I said the exact same thing! Ever since updating to iOS11, my iPhone is stuffing up constantly. Whether it’s messaging, reminders, calls, battery life..its BS! I’m w/you Simon. We shouldn’t be forced to upgrade. It’s not fair &amp; very suspicious. 😒",@758307 We'd like to see what we can do to help. Which iPhone model and exact iOS 11 version are you using? Let us know in DM and we'll work on this.
2557240,@AppleSupport I recently purchased a refurbished iPhone 5S model A1533 from the local retail store. I'd like to exchange it for a equivalent iPhone 5S model A1453. Is that possible?,"@726014 To clarify this for our end, which country are you in and what location was it this device was purchased at? Let us know via DM."
2320384,"@AppleSupport So are you saying it is in fact an intentional change? If so, is there currently any way to change which apps can be controlled with the media shortcut keys?","@672485 Our apologies for the confusion. We want to make sure we're understanding the behavior exactly right. Go to System Preferences &gt; Keyboard, and tell us if you have ""Use F1, F2, etc. keys as standard function keys"" checked. Send us a DM with the answer."
2882112,Anyone else running macOS 10.13.1 having trouble turning Bluetooth OFF? This release seems littered with bugs. @AppleSupport,@629303 We’re here to help. Please DM us the device model you’re using so we can better assist you.
1615758,@AppleSupport fix my battery life,@495527 See our guide for improved battery life here: Please send us a DM if we can help further.
2782060,@776927 @AppleSupport @115858 Deleted half my photos which I’m kinda over cause I can’t do nothing about it. But what makes me mad is it deleted my photos from the concert i went to with Nickie. Thankfully I sent them to my mother so I could get them back,"@755849 The Optimize iPhone Storage option should mean your photos are securely stored on your iCloud account. If you're still having issues with your photos, get over to our Photos support. They will be glad to help you. Use this link to reach them:"
1166741,@AppleSupport My battery has been terrible since 11.1. Have you identified the problem and what are you doing to fix it?,@394441 We'd be happy to help. Send us a DM with a few details and we can start there.
875124,@AppleSupport why does my WiFi not want to stay connected??,@327771 Maintaining your Wi-Fi connection is expected &amp; we'd like to help. Does this happen with all Wi-Fi networks or only one?
2616590,"@AppleSupport Updates completed. Still freezes playing back Facebook video, snapchat videos. My face id scan icon will just disappear when it gets a bad scan and act frozen. It will show a lock and the rest of the screen goes blank.",@739559 DM the country or region were you are currently located to continue.
1618263,@AppleSupport It was Skype only. In the meantime I uninstalled&gt; reinstalled Skype. Working well now.,@496164 We’re glad to hear it is working correctly again. Let us know if we can help you with anything in the future. Have a great day!
938065,@AppleSupport The job no JPR22081761324 evn @116333 didn't repnd 2 my dad's mail hrrible customer care #cheaterapple @123288 pls help my dad,"@342356 Please send us a DM with full details on the exact issue you have run into, so we may better assist you."
1626579,"@AppleSupport makes me want to switch to @117159, just took a screen shot on my iPhone and it deleted all my photos... great",@498063 We'd like to help you get in touch with our Photos experts at AppleCare. Please reach out to them here:
848280,@AppleSupport oh les mecs pq mon controle vocal fait que se declencher quand les écouteurs sont branchés???????? OWWW ON EST OÙ LA PTN,@321593 We offer support via Twitter in English. Contact us for help in your preferred language here:
1420645,@AppleSupport i have the 7 and i have 11.0.02. will upgrading fix that issue? why would messages come thru after someone has been blocked??,"@450269 Updating would be the first step to take. If that still continues, just let us know via a DM. We’ll keep moving from there."
1002739,@AppleSupport Y wifi is switching on by itself after update to 11.3 ???,@357352 We'd like to look into this further. Please click here to join us in DM:
2013846,@AppleSupport Is this link for the UK too?,"@595474 For contact info, and also a link to worldwide numbers to reach us, please see:"
448377,You upgrade your @AppleSupport Mac to High Sierra and you get the constant 94% CPU issue.... loving it so far....,@124345 We'd be happy to look into this with you more in detail. Please reach out to us via DM and let us know what Mac you're using and any steps you've tried to resolve the issues.
2291643,"Phone freezes all the time now. I'll be in the middle of typing an iMessage &amp; it just stops typing, then jolts back to life like a frozen computer. All of my apps freeze as well. Snapchat/tinder the most. This is literally the worst update ever for a phone. @AppleSupport #ios1103","@267786 We're here for you. Send us a DM, and we'll continue investigating this issue together there."
1857093,@115858 @AppleSupport why tf my music lookin like this,"@555380 Hey, we want to learn more about what's going on. DM us the exact iOS version and we'll take a closer look."
1725281,@115858 @AppleSupport yo wtf is going on my phone keeps fucking up and freezing and logging me out of insta get your shit together Apple!!!,@521810 We're here to help. Send us a DM with your iOS version and device type.
557871,@AppleSupport no Apple Pay cash for the UK?,"@124177 We're happy to answer your question. To send and receive money with Apple Pay, you must live in the United States."
448402,@AppleSupport Still no response from you! Since I’ve updated to iOS 11 I can not connect to unsecured networks. It’s a know issue. What are you doing to fix it? Tried on my friends phone(not updated) and was able to connect. Tried on mine and still nothing. Proof it’s the update!,@221228 Thank you for reaching out. We're happy to look into this issue with you. Join up with us in DM; we'll continue from there.
1697452,I️ I️ I️ I️ wtf is this @AppleSupport,@514893 Here’s what you can do to work around the issue until it’s fixed in a future software update:
2682048,@AppleSupport Great. Thank you,@456048 You're most welcome!
2111397,"@AppleSupport dopo aver effettuato tutti e tre gli aggiornamenti di iOS 11, continuo a non riuscire ad effettuare chiamate. Soluzioni ?",@622778 We offer support via Twitter in English. Contact us for help in your preferred language here:
1563993,I️ can’t take much more of this @AppleSupport,"@482948 We are pleased to provide you a fast, easy workaround for this. This article walks you through it:"
1072713,"@AppleSupport hello, my Apple watch doesnt send me notification when i receive a Message","@373122 Let's look into this together! To begin, let us know if the steps listed here help:"
407938,"@AppleSupport Hi, how can I check on my iPhone when the last backup was? I cannot seem to find out with the iOS 11 update.. Please assist",@212247 We'd love to help. Check out this link for locating previous backups:
1941240,"@AppleSupport so I went to look at my pictures and they’re all gone, no reason!",@535649 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this.
1232310,@AppleSupport can I get some help pls?,@409018 That's what we are here for. What can we do for you?
762558,"@AppleSupport having trouble with airplay mirroring on apple tv, keeps cutting off when I’m trying to stream amazon prime from my phone.",@302195 We'd want to get you connected with Apple TV support for help. They can be reached here:
2412525,@applesupport Help after updating to 11.1 battery drains in two hours from 100% to 50% to dead. When plugged in to recharge back again in 1 min to 53% #5S #mad,"@693558 Battery life is essential for the enjoyment of your iPhone, we'll do all we can to help. Connect with us in DM and let us know which iOS device you have. We'll get started."
1020336,@AppleSupport Mostly Apple Music albums added to my library over the past months or year.,@361440 When was the preference enabled? Let us know via DM.
1386554,@AppleSupport I didn't know about the power button under TouchId. Rebooting has resolved the issue,@442634 That's great to hear. Let us know if you need anything in the future.
886236,I deleted someone’s number from my phone today and the number is still saved.. how @AppleSupport ?!,@330432 We can help find out why this happened. DM us and let us know if you use iCloud to save your contacts.
2002696,@AppleSupport what is this?! My friends and I are getting this and it turns I️’s in A with a ? or box beside it. @115858,@592192 Thanks for reaching out. Which device and iOS version are you using? Let us know via a DM. We’ll go from there.
1725236,@115858 @AppleSupport So I’ve reset my phone for the 5th time today because these glitches are getting worse... Any words of advice?,@521796 Let's look into this for you. Send us a DM with your current device type and iOS version to get started.
1863966,"@AppleSupport having trouble with the new iOS on my iphone 6s, the time keeps disappearing when the screen is locked among other things...!?","@556916 We're here for you! Please send us a DM and let us know the exact version of iOS installed, as well as any steps you've tried."
778952,@AppleSupport updated my iphone 5s to ios 11.02.. Random touch occurs very frequently. Reset doesn't help me either.,@306025 Let's take a closer look at this together. Please reach out to us via DM and we can go from there.
2353210,"@AppleSupport high Sierra has broken more or less EVERYTHING on my Mac, it is unusable, constant crashes, broken applications","@679996 We want you to be able to enjoy macOS High Sierra. To see what's going on, please let us know in DM any steps you’ve taken."
2700939,"@AppleSupport Hmmm....not really. That article shows how to sort a contacts list, but not anything about how contacts show up in the messages app.","@758717 To make sure we're on the same page, do you have any message threads with these groups in your Message app?"
2179524,@AppleSupport can you confirm if there are any new text message scams please. Have received a text this morning and do not believe it to be from Apple,"@638723 While we cannot confirm if there are new text message scams, if you suspect you've received one, take a look at the following article for help with identifying and reporting these types of attempts:"
2000383,@AppleSupport why can I️ not type the letter I what did y’all do?,"@591483 We'd like to look into this with you! Join us in DM with the iOS version on your device, located in Settings &gt; General &gt; About."
1673555,@AppleSupport I just bought this iPhone 7 and it’s already acting slow.,@509249 We're here for you. DM us some further details and we can go from there together.
1368985,@AppleSupport this has happened to me twice today. I’ve manually reset time to fix. How do I get the correct time to stick?,@438650 We'll be happy to work with you to ensure your device reflects the correct time. Try all steps here:
898606,Anyone else getting this on #iPhone #iOS11 doesn’t matter what app I’m in. Note someone’s #Facebook post is it as well. @AppleSupport #fb,@118754 Here’s what you can do to work around the issue until it’s fixed in a future software update:
2114699,@AppleSupport iOS 11.0.3 &amp; 11.1 completely messed up my photos. Everything out of chronological order &amp; even DATES CHANGED! iPhone 7 HELP,@623463 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance.
2277732,"@AppleSupport My live pictures aren’t working in my photo album, every picture I’ve taken is blurry. Can this be fixed?",@662355 We’d love to help point you in the best direction for a resolution. Our team that best assists with Photos would love to help from the following link:
2062110,@AppleSupport whyyyyy you delete all my pics,@609857 Thanks for reaching out. Did your photos reappear once the restoration completed? Let us know via a DM. We’ll go from there.
1753158,"@AppleSupport It’s the “I️” key issue, it replaces it with the A and symbol.",@418542 Here’s what you can do to work around the issue until it’s fixed in a future software update:
2321896,@AppleSupport Hi! Thank you for reaching out. Well I'm using the latest version you recommend: iOS 11 and watchOS 4,@149292 Our latest iOS version is 11.1.1 &amp; WatchOS is 4.1. Let's start by backing up the iPhone &amp; updating it. Then we can update the Watch. Let us know how that goes in DM. How to back up: Update the iOS software on your iPhone:
567673,Why does the word it autocorrect to I.t @AppleSupport #makesnosense,@253149 Thanks for reaching out. Please let us know all about the issues you're experiencing. Which device and version number of iOS are you using? The version can be found under Settings &gt; General &gt; About.
2169864,@AppleSupport Hi thank you for responding. Yes it was the Messages app using iOS 11.1. I️ have an iPhone 7+.,@636536 Have you noticed this happen with other long messages? Or is this the first time you have noticed this happen?
1633535,"@AppleSupport AND I upgraded to 2TB n paid the $8.99 4 xtra storage n have nothing saved, no pics, and 5 apps n still get no storage msg #Time4Android","@382478 We'd be happy to look into this with you! To begin, feel free to DM us and we'll go from there:"
757828,My Apple Watch doesn’t give me breathe reminders anymore since I’ve updated my watch @AppleSupport,@301094 Go ahead and check out this article and see if it helps at all:
1943289,Every time I type the letter “i” it changes to symbols. Why is that happening @AppleSupport @115858 @34759,@577783 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this.
1858983,Ever since I updated my ever since I updated my phone the battery is shit and it keeps freezing🙃 thanks @AppleSupport,@555838 That's not the experience we want you to have. Let's look into this together. DM us which iPhone an iOS version you're using.
451411,"@AppleSupport WHY does ""it"" keep autocorrecting to ""I.T."" This NEEDS to be a priority",@222044 We certainly appreciate you reaching out to us. Go ahead and reach out to us in DM and we'll be happy to continue there.
701609,@AppleSupport Beyond frustrated that the glass back on my iPhone 8 has cracked. I didn’t even drop it and it’s always had a case on it. You all swore to us that it was durable but clearly that isn’t the case.,"@287492 We want to help with your iPhone 8. To look into options for your iPhone 8, please share with us in DM which country you are located in."
2734376,@AppleSupport From others,@544630 This would mean that this has been corrected for you and it's the others that will need to update to correct this.
752187,@15245 @AppleSupport Locked out of I-phone after attempting software update. HELP PLEASE,@190042 We are happy to help. What do you currently have on the screen of your iPhone? Please reply with a DM.
1333691,"@AppleSupport @431133 A new ios version, 2 patches and all i’ve got is a nice slowly and battery killer iphone 6s. Nice job @115858","@431134 We'd be happy to look into this with you. Send us a DM, and we'll continue there."
94891,"I got my phone fixed 2 weeks ago and I just dropped my phone with a case on it ON CARPET from at MOST four feet, and my screen shattered.... @AppleSupport how?","@136626 We're sorry that this happened, so let us help you get it taken care of. DM us so we can better assist you:"
2320402,"@AppleSupport anything I can do to stop my iPhone 7 from crashing constantly and freezing when trying to multitask applications? This is really frustrating, the ios11 update has been nothing but a nightmare 😩😡🤬",@672491 That's not how we expect your iPhone to behave and we'll be happy to look into this with you. Let us know in DM what iOS version you have and we'll go from there. It can be found under Settings &gt; General &gt; About.
84192,@AppleSupport 11.0.2,"@134515 This is a couple versions behind the latest iOS, but we'll try some additional steps first. When this happens, do you have the Music app open? Are you able to use the Music app without any issues otherwise?"
1785462,@AppleSupport big bug... iOS beta 11.1 WiFi switch it's blocked off and I can not turn it on... and now ???,@536436 Let's get this figured out. Have you tried any troubleshooting steps to fix the Wi-Fi issues? Send us a DM.
2207455,"This i shit ain’t fixed, y’all lied @AppleSupport",@517025 Did you update to iOS 11.1.1?
2978776,@AppleSupport Yes I am on that current version and I still get static when playing music through Bluetooth. Matter fact I just paid $150 to get my Mercedes A diagnostic test and was told it was the iPhone.😡😡,@732042 OK! Thanks for keeping the iPhone updated. We have some questions to help us begin isolating the issue. Is this happening for just music or for phone calls as well? How are the speaker and receiver when not connected to Bluetooth? Please DM us.
1906569,@AppleSupport is there an update in sight that fixes my alarm only vibrating when my phone is on silent????,@568071 Let's get your alarms working the way you expect. Join us in DM with a confirmation of the current version of iOS installed.
2227155,"@AppleSupport I can speak in English too here. So what’s the fucking pb w/ ur last update iOS 11! So many bugs, big loss battery, keyboard very slow 😩😤🔫",@650104 That's certainly not what we'd expect you to experience. We'll be happy to assist as best we can. Are you running 11.0.3 currently?
2734112,"Mail toolbar customizations in High Sierra don’t stick, and change at random times. cc @AppleSupport But report filed.","@118501 We'd like to take a further look at this with you, please meet us in DM to continue."
505076,@AppleSupport Now when I go into Apple Music it’s prompting her to sign up for a free 3-month trial. It’s not recognizing that she is part of our Family subscription. How do I fix that?,"@235792 Got it, we want to take a deeper look into this with you. DM us and we'll continue there."
1329239,@AppleSupport ever since I applied the last update my phone is not working properly!,@430138 Let's see what's going on. Send us a DM with some more details.
2018476,@AppleSupport my phone is still not functioning properly; is there a resolution yet ?,@455832 We're happy to help. Check out &amp; try the recommended steps. Let us know if you have any questions.
521317,@115858 @AppleSupport why does my iphone keep crashing?!?,@240055 We want to help! DM us and let us know more about the issues you are having. We can look more into this issue from there.
2286438,"@AppleSupport That was the article I originally found. There is no where for me to downgrade because when I click the “change storage plan” as directed in the article, it tells me that doing so will cancel my family plan. So what else can I do?","@230652 Got it. So if it will not let you sign in to your other account to change your storage plan, you would want to reach out to our phone support to get the storage plan canceled. You can connect with them here:"
852887,@AppleSupport Thanks. Have sent the email already over to your team.,@322606 Awesome. Good eye! Let us know if you need in the future.
2063448,Hey @AppleSupport you know what would be amazing? If my battery lasted more than 6.5 between charges.,@610276 We'd be happy to help. Send us a DM with a few details and we can start there.
2287252,@AppleSupport It’s usually whenever I type in any app. It’s like my keyboard gets stuck for a minute and doesn’t catch up to what I’m typing right away.,"@664548 Got it. Do you have any third-party keyboards installed? Also, have you tried to restart the iPhone since you first noticed this? If not, let’s do that now please."
2069232,@AppleSupport iOS 11.0.2 : is way too buggy! my Iphone 7plus getss so much lag and gets so frozen ! This is so terrible!,@611920 That's not the experience we want you to have. Send us a DM letting us know which country you are in to get started.
1294331,@AppleSupport I lock it and sometimes that doesn’t work. Other times I just let it sit . I’m using 11.0.2,"@216977 After you make sure you have a backup, go ahead and update to iOS 11.0.3 and see if it that helps."
2016225,@596232 @115858 @AppleSupport Same!!!!,@596231 Thanks for reaching out. We have a workaround for this here: DM us if you still need help.
2070045,@115858 actualice mi iPhone y ahora la batería no me dura ni medio día 😡😡😡😡@AppleSupport @2310,"@612184 Since our Twitter support is available in English, get help at or join"
35211,"@AppleSupport why is the new update savaging my battery please, 100% to 1% in the space of an hour, get ya shit together",@123668 That should not be happening. Let us help. DM us more details about this.
2943334,"@AppleSupport hi guys, I just turned off ‘iCloud photo library’ in my settings and it deleted all of the photos on my phone. Can I get them back?",@813136 We'd be happy to help. You can bring your pictures back by turning on iCloud Photo Library again. This article shows you how you can turn iCloud Photo Library off and still keep your photos:
2041675,My iPhone just freezed to death. Had to reboot it. Why is this happening? @115858 @AppleSupport,@603689 We'd love the chance to research this with you. Send us a DM with your iPhone model and iOS version to gets started.
2840363,@AppleSupport Other people,@790407 Thank you. You may see this from other people until they update their devices to the latest iOS version to resolve the issue. What you're seeing isn't related to your device.
590934,@AppleSupport Rang the helpline. Thanks,"@259788 You're welcome, and we're glad to hear that you were able to get through to our Phone Support team."
2609192,@AppleSupport no link?,"@737992 Our apologies, the link can be found in this message here:"
2304554,". @AppleSupport you need to work on this bug, it’s a real self-esteem killer",@584848 We want to help. Follow these steps here for an accurate workout:
1359146,Hey @AppleSupport why does Apple Music crash when I try to edit a playlist,@436870 We'd love to get your playlists back up and running. Can you let us know which device this is happening on?
2596177,"@AppleSupport morning, your #AppleID website appears to be broken",@402090 Our Apple ID website appears to be up and running: Let's find a solution for this issue. DM us here.
2031348,@AppleSupport can you please help me in running the battery diagnostics,@600654 We'd like to know more about what's going on to figure out the best way to help. Send us a DM with the details.
1935779,.... @115858 @AppleSupport I love you (a lot - it’s an intense love)... but the latest iPhone update is INSANELY glitchy 😫😫😫,"@494443 We'd be happy help out with your iPhone. Send us a DM letting us know your iOS version, and we'll get started."
325472,"@AppleSupport It is an MP4 file, I am unable to plug into iTunes as the person sending me the files is across the country, so it would need to be wireless",@193527 How are you receiving and saving the files? DM us:
2743038,"@AppleSupport Hello, Cleaned up the memory, but it did not help",@768332 Hi there. Thanks for giving it a shot! Go ahead and send us a DM and we'll look into this further with you.
2744221,"@AppleSupport every time I open Twitter my music shuts off and won’t let me use both at same time... assistance please, iPhone X",@768595 Thanks for reaching out. DM which iPhone you are using along with the specific iOS version to get started.
31960,@AppleSupport iPad and iPhone,"@123068 Alright, can you tell us what iOS version you're currently on? Also, have you tried unpairing and pairing your AirPods again?"
1086835,@AppleSupport please fix our IOS. I even got a new phone thinking that was the issue just to have the same problems. 😭,@376364 DM us using the link below and let us know what issues you're encountering. We're glad to assist.
849980,@AppleSupport my App Store has been like this for hours. 🙄,"@217828 We can help. To clarify, is it that the app won't download? If so, does this happen on both a Wi-Fi and cellular data connection?"
2306229,@AppleSupport It didn’t fix it.. and it continues to do the exact samthing.,@669067 Thanks for reaching out. We're here to help. DM us so we can look into this further with you.
285744,"@AppleSupport I got a new I 6 and It is disable. Pls help me on this, I haven’t even used it. IMEI __credit_card__ Need ur support on this.",@184075 Hey there. Send us a DM and we'd be glad to help.
2234456,The appstore wont let me download or update anything! HELP! @118936 @AppleSupport,"@651764 Hey, we can help you get those apps downloaded/updated. Which device is this on and what's the software version?"
2638501,@AppleSupport @115990 updated carrier settings now I can’t receive text/Call use Siri or access internet via apps unless I’m on WiFi. Using a 6 Plus... why?,@744648 We understand the importance of needing these features to work properly Let us know if this helps:
287467,@AppleSupport ik weet niet wat er aan de hand is. Maar om 11.30u m’n telefoon van de lader gehaald. En nu heb ik nog 30%.. #watisdit?!,@184507 We offer support via Twitter in English. Contact us for help in your preferred language here:
2372272,@AppleSupport An iPhone 7 please help I was just kidding when I said bitch omg please understand my humor,@684433 Thanks for the details. Send us a DM and we'll go from there.
38209,@AppleSupport And when is the summer free is going to be released?,@124299 We’re also excited for the iPhone X! You can find out more information about available models here:
1941078,@AppleSupport My phone is up to date and it makes it take forever to open apps and to send messages!,@577257 Any steps tried so far? Which country are you located within? Please let us know both details in DM here:
1277215,"@AppleSupport I updated ios 11, i often experiense frozen screens, white screens. I make hard reset everyday☹️Yesterday i reset settings. Nothing happened",@418922 Let's take things to DM from here and we'll get this sorted out together.
2417488,@AppleSupport sent my phone to you for a new battery only to be told it has non-genuine parts. The phone has never left my care for anything support can’t tell me which parts. Now left feeling I was sold a defective phone from the Apple Store. What can I do ?,@694722 We'd like to look deeper into this with you. DM us and we'll continue from there.
2297631,@AppleSupport what’s wrong with your iOS updates??? :),@666998 Thanks for reaching out! DM us and let us know what kind of issues you’re having since updating. We’ll take a closer look at this with you there.
2543982,this whole “ i️ “ shit is getting fuckin annoying @AppleSupport and the shortcut aint fixin it,"@723182 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out:"
1709970,"So I liked the iPhoneX at first- but it makes me dizzy and gives me a headache, it's prob the frame rate I guess. @AppleSupport @115858",@518079 We'd like to see what we can do. Here's something that may help:
1409635,"@AppleSupport Hello! Is it possible to make text larger on iOS Safari? I have the dynamic type on w/ large font, but web text stays the same",@317393 Let's have a look at this. Please DM us.
2665300,@115858 @AppleSupport bruh what is this???,@750940 Here’s what you can do to work around the issue until it’s fixed in a future software update:
934479,"@AppleSupport streaming from Match, 11.0.3 yes. Press skip multiple times, UI of the music app (&amp; control center, etc) stops updating/responding,",@341674 Does restarting have any impact on the issue? Does this happen on both Wi-Fi and cellular? Do downloaded songs play?
2897755,@AppleSupport how do I speak to a human being ! You have my mind eh your service is shocking !! I have a case ID number that stupid automated machine fucks up every time !!,@268732 Thanks for reaching out to us. We are always happy to help. Send us a DM and tell us more. We will look into this with you there.
2293529,"@AppleSupport Definitely on several apps, twitter just stops loading, ebay says network error despite wifi signal showing, as soon as i turn wifi off and on it starts working again",@126810 Got it. Are these issues only occurring on your home Wi-Fi or do you also notice it on other Wi-Fi networks? Do the issues occur when using cellular data? The answers to these questions will help us isolate and determine possible root cause.
2863587,"@AppleSupport @115858 @45871 @2310 @18775 @6376 @109671 @7288 @1112 account under News From Apple. If they aren't legitimate @115858 email address, then why were they on my personal iCloud account? I didn't enter them as contacts. Please confirm which ones are legitimate @115858 email addresses, so that I can block the ones that aren't.",@795091 Let's go ahead and meet in DM and we'll continue there.
1537000,@AppleSupport any chance of some help have sent you a dm,"@476531 We've received your DM, and will be responding there shortly. Thank you for reaching out to us today."
1260972,"@AppleSupport iOS 11.0.3 update, the internet connectivity indicator has not stopped spinning. Tried all fixes.",@415400 Thanks for reaching out. We're here to help. DM us so we can look into this further with you.
1489611,@AppleSupport I’ve got the latest iOS update and iPhone 6s. I just don’t understand why the alarm won’t ring when my phone is on silent?,@465982 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there.
1468465,"@AppleSupport Umm when I said everything, that included all of the above. You must had already received 1000x complaints by now 4 the same problem, no??",@460854 Including updating to iOS 11.1? Let us know in DM and we'll continue from there.
2945763,@AppleSupport will an iPhone 7 bought in USA have a valid warranty in India?,@152255 We'd be happy to look over warranty options overseas. Go ahead and DM us and we'll continue there.
2634920,Hi @AppleSupport I wish your website was working. Chat windows disconnect for no reason within a couple of minutes and can't schedule phne support calls either. #AppleSupportGate,@723578 We want to help! DM us and let us know more about the issues you are having. We can look more into this issue from here.
2975821,Why everytime I️ type “I️” the letter A and a question mark pop up ?@AppleSupport,@820705 We are here for you. Let's take a look at this further for you. Reach out to us in DM.
2309398,"@AppleSupport No, so far I have only encounter the GPS issue within the #PokemonGo App. I own the 256 GB and currently on the latest OS (11.1.1)",@669818 Let's meet in DM and we can go over a few options.
1781822,Does any one have the stupid #iPhone issue of the screen my screen half bright and half dark @AppleSupport,"@499107 We'd be happy to look into this with you! To begin, feel free to DM us what iOS version and model iPhone we're working with:"
622661,@AppleSupport The battery seems to drain pretty quickly. It lasts maybe a half day at best.,"@267789 If you go to Settings &gt; General &gt; About &gt; Version, which iOS version are you running? When did you first notice the battery drain?"
1136291,@AppleSupport,@387691 We know your pictures are important. Reach out to our Photos experts here:
398841,"@AppleSupport apple pencil has stopped working despite being charged and connected to ipad, any advice?",@210321 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance.
2269906,"@AppleSupport Hi - When it stops charging, disconnecting the smart connector makes no difference, you have to disconnect &amp; reconnect the charging cable to get it to start charging again. Have cleaned charging socket &amp; tried different charging cable.","@660504 Got it. Are you using the iPad Pro Smart Keyboard, or are you using another accessory? Have you had the opportunity to test your iPad Pro with another accessory that uses the Smart Connector? Let us know via a DM. We’ll keep moving from there."
2948331,@AppleSupport I️ believe I.t is 11.0.3 (15A432),@814275 Let's hop in DM and we'll continue there. Click here:
2015343,"@AppleSupport Does this restore the iPad to its factory settings or when it works again, does it keep everything it had when it started???","@271209 We know how important your data is on your device. To make sure we provide the correct steps to you, let’s move to DM."
2838648,"This is bs that every time there’s an iOS update, I have to agonize over fixing the Mail app on my iPhone. 😡 What’s the deal @AppleSupport? #readytoswitchtoAndroid😭",@790005 Can you tell us what's going on with the Mail app? We want to work with you towards a solution.
